Pairs,n_clusters,silhouette_score,rand_index,v_measure
Beyonce & Solange,2,0.03267091140151024,0.49724802201582385,0.0009096507738875079
Katy_Perry & Zooey_Deschanel,2,0.029359538108110428,0.4982639816249132,0.001169387481540267
Hilary_Duff & Haylie_Duff,2,0.03182649239897728,0.49795576572582634,0.0006916595289118188
Ben_Affleck & Casey_Affleck,2,0.035525258630514145,0.4972067039106145,6.677321183127002e-05
Penelope_Cruz & Monica_Cruz,2,0.03693072497844696,0.49958542652294785,0.0028891145938886335
Dax_Shepard & Zach_Braff,2,0.025599336251616478,0.5012424002114724,0.00405570791359171
Luke_Wilson & Owen_Wilson,2,0.033509038388729095,0.5047900817131586,0.01115356482014531
Bryce_Dallas_Howard & Jessica_Chastain,2,0.03335541486740112,0.49918849988407143,0.0020024754530336307
Sarah_Hyland & Mila_Kunis,2,0.0362141914665699,0.5082823987952875,0.015232369991070473
Selma_Blair & Kris_Jenner,2,0.030189990997314453,0.49761194029850747,0.00024277058475427135
Amber_Heard & Scarlett_Johansson,2,0.029144471511244774,0.4998211571134758,0.003391138585234668
Natalie_Portman & Keira_Knightley,2,0.033155571669340134,0.513767209011264,0.026533523549215163
Lily_Collins & Jennifer_Connelly,2,0.032862402498722076,0.49785575048732944,0.0004576268272220633
Margot_Robbie & Jaime_Pressly,2,0.03263254836201668,0.49762299022488116,0.000666001247281302
Margot_Robbie & Jaime_King,2,0.03262573853135109,0.49767441860465117,1.4627090581397132e-05
Jaime_King & Jaime_Pressly,2,0.03578110784292221,0.49740932642487046,8.47924669849763e-09
Edie_Falco & Jane_Lynch,2,0.03118765540421009,0.49777271314617216,0.000674004459712553
Minka_Kelly & Leighton_Meester,2,0.03034350834786892,0.4982639816249132,0.0013984910691872418
Angelina_Jolie & Megan_Fox,2,0.0394069068133831,0.50011377858687,0.005046074397236386
Victoria_Justice & Nina_Dobrev,2,0.030499374493956566,0.49762299022488116,0.00027703374259335496
America_Ferrera & Jordin_Sparks,2,0.03533492237329483,0.49874686716791977,0.0013774731606125176
Zoe_Saldana & Thandie_Newton,2,0.030605746433138847,0.5050215208034433,0.011080334564644839
Elizabeth_Banks & Rachel_McAdams,2,0.034274667501449585,0.49933230062496664,0.002900128420808794
Rachel_Bilson & Nora_Zehetner,2,0.036431919783353806,0.5069536717158296,0.013139346871439687
Penelope_Cruz & Paz_Vega,2,0.026024222373962402,0.49746192893401014,3.2365776632366e-05
Jada_Pinkett_Smith & Zoe_Saldana,2,0.029500260949134827,0.4999497487437186,0.004314192531821994
Will_Ferrell & Chad_Smith,2,0.03434663265943527,0.5072711719418306,0.014818144797121917
Emily_Kinney & Evanna_Lynch,2,0.027463404461741447,0.4984932593180016,0.0010097820951255798
Chord_Overstreet & Austin_Butler,2,0.03131150081753731,0.49751320309695946,1.7453581040767485e-06
Henry_Cavill & Matt_Bomer,2,0.031959306448698044,0.4995544299047887,0.003962860457774621
Alicia_Silverstone & Kristen_Stewart,2,0.03506658598780632,0.49848024316109424,0.001621628412804978
Rachel_Bilson & Selena_Gomez,2,0.02956140786409378,0.49804747488043527,0.0004808147669853535
Dane_Cook & Skylar_Astin,2,0.02974865213036537,0.4972375690607735,3.894619708245113e-05
Chandra_Wilson & Alex_Newell,2,0.03903681039810181,0.4968553459119497,0.0014129911020946794
Chace_Crawford & Ian_Somerhalder,2,0.030710019171237946,0.49850746268656715,0.0012813811418557097
Jeremy_Irons & Daniel_Day-Lewis,2,0.02914341166615486,0.497562893081761,0.0005915491363925712
Ellen_Barkin & Cameron_Diaz,2,0.028969457373023033,0.49745499689633765,0.00042157957415278515
Jai_Courtney & Phillip_Phillips,2,0.030561242252588272,0.49883092800129003,0.00395531032742623
Zachary_Quinto & Eli_Roth,2,0.03142011910676956,0.49767504247518557,0.0001231283839634281
Dana_Delany & Mimi_Rogers,2,0.031783346086740494,0.4976566236250598,0.000220511592163777
Drea_de_Matteo & Portia_de_Rossi,2,0.026377467438578606,0.5134502923976608,0.026979648061197792
Emmanuelle_Chriqui & JWoww,2,0.03212832286953926,0.498096543322674,0.0002954726153177791
Benicio_Del_Toro & Brad_Pitt,2,0.030044207349419594,0.5035231384498191,0.010305275057867167
Jennifer_Garner & Hilary_Duff,2,0.029280904680490494,0.49797421731123387,0.0018296454770487605
Christy_Turlington & Jessica_Biel,2,0.032659269869327545,0.4991133004926108,0.002835595604605137
Georgia_May_Jagger & Lara_Stone,2,0.0296363215893507,0.49758524099294893,0.00011359542043729194
Demi_Moore & Courteney_Cox,2,0.03289058804512024,0.4976884422110553,0.00034401124318600836
Richard_Hammond & David_Tennant,2,0.04037224128842354,0.4978730366492147,0.0004047971931556039
Kristen_Wilson & Angelina_Jolie,2,0.039406828582286835,0.5048449612403101,0.009117395969338365
Dave_Coulier & Jeff_Daniels,2,0.03339982405304909,0.4981908207960388,0.0007225762821722442
Stephen_Colbert & Bob_Saget,2,0.035809360444545746,0.4975655236713975,0.0002764681980402206
Robin_Williams & Bono,2,0.028469152748584747,0.49928780896522834,0.0055174049457446415
Carlos_Bardem & Jackie_Chan,2,0.021028703078627586,0.4970496894409938,0.002785665669353031
Alicia_Keys & Jessica_Alba,2,0.02782829850912094,0.5031590267509074,0.00862616059977778
Carmen_Electra & Lauren_Conrad,2,0.02442634105682373,0.49751727115716754,5.946146415940392e-05
Daniel_Radcliffe & Elijah_Wood,2,0.03333554044365883,0.49696969696969695,2.4401252334911227e-07
Jennifer_Coolidge & Daryl_Hannah,2,0.032858479768037796,0.4973554199360651,0.00016232108832845636
Kris_Humphries & Taylor_Lautner,2,0.03162287548184395,0.4979233964005538,0.0004152545862987714
Peter_Jackson & Jason_Segel,2,0.034590866416692734,0.5000545375218151,0.004096539912776328
Pee-Wee_Herman & Alan_Cumming,2,0.036572471261024475,0.5025873736167502,0.008195550788707625
Ice_Cube & Oshea_Jackson_Jr,2,0.02740536257624626,0.496551724137931,3.7824372342170106e-05
Renee_Zellweger & Joey_Lauren_Adams,2,0.03705858439207077,0.504002784545771,0.011087695436113822
Kenny_G & Weird_Al,2,0.029289547353982925,0.49777963971512357,0.002184785533965314
Krysten_Ritter & Anne_Hathaway,2,0.035566218197345734,0.5,0.0030614470948301512
Kofi_Annan & Morgan_Freeman,2,0.03735726699233055,0.49803377284293315,0.0028325658209824404
Elias_Koteas & Christopher_Meloni,2,0.031971435993909836,0.49769222109647643,0.0011977531241902334
Helen_Hunt & Leelee_Sobieski,2,0.026401998475193977,0.4978836952521163,0.000409277138182174
William_Dafoe & Denis_leary,2,0.03641555830836296,0.4971502777577375,0.00016966659855268372
